127.0.0.1 - - [26/Jul/2020:11:44:11 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [26/Jul/2020:11:44:12 +0530] "GET /pandD1/ HTTP/1.1" 200 3439
0:0:0:0:0:0:0:1 - - [26/Jul/2020:11:44:12 +0530] "GET /pandD1/assets/vendor/animate.css/animate.min.css HTTP/1.1" 200 71752
0:0:0:0:0:0:0:1 - - [26/Jul/2020:11:44:12 +0530] "GET /pandD1/assets/vendor/boxicons/css/boxicons.min.css HTTP/1.1" 200 61773
0:0:0:0:0:0:0:1 - - [26/Jul/2020:11:44:12 +0530] "GET /pandD1/assets/vendor/icofont/icofont.min.css HTTP/1.1" 200 92208
0:0:0:0:0:0:0:1 - - [26/Jul/2020:11:44:12 +0530] "GET /pandD1/assets/vendor/remixicon/remixicon.css HTTP/1.1" 200 104609
0:0:0:0:0:0:0:1 - - [26/Jul/2020:11:44:12 +0530] "GET /pandD1/assets/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 160403
0:0:0:0:0:0:0:1 - - [26/Jul/2020:11:44:13 +0530] "GET /pandD1/assets/vendor/venobox/venobox.css HTTP/1.1" 200 20309
0:0:0:0:0:0:0:1 - - [26/Jul/2020:11:44:13 +0530] "GET /pandD1/assets/vendor/jquery/jquery.min.js HTTP/1.1" 200 89476
0:0:0:0:0:0:0:1 - - [26/Jul/2020:11:44:13 +0530] "GET /pandD1/assets/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 81084
0:0:0:0:0:0:0:1 - - [26/Jul/2020:11:44:13 +0530] "GET /pandD1/assets/vendor/owl.carousel/assets/owl.carousel.min.css HTTP/1.1" 200 3351
0:0:0:0:0:0:0:1 - - [26/Jul/2020:11:44:13 +0530] "GET /pandD1/assets/vendor/php-email-form/validate.js HTTP/1.1" 200 3663
0:0:0:0:0:0:0:1 - - [26/Jul/2020:11:44:13 +0530] "GET /pandD1/assets/css/style.css HTTP/1.1" 200 38806
0:0:0:0:0:0:0:1 - - [26/Jul/2020:11:44:13 +0530] "GET /pandD1/assets/vendor/jquery.easing/jquery.easing.min.js HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [26/Jul/2020:11:44:13 +0530] "GET /pandD1/assets/vendor/venobox/venobox.min.js HTTP/1.1" 200 15043
0:0:0:0:0:0:0:1 - - [26/Jul/2020:11:44:13 +0530] "GET /pandD1/assets/vendor/isotope-layout/isotope.pkgd.min.js HTTP/1.1" 200 35445
0:0:0:0:0:0:0:1 - - [26/Jul/2020:11:44:13 +0530] "GET /pandD1/assets/vendor/waypoints/jquery.waypoints.min.js HTTP/1.1" 200 9028
0:0:0:0:0:0:0:1 - - [26/Jul/2020:11:44:13 +0530] "GET /pandD1/assets/js/main.js HTTP/1.1" 200 5463
0:0:0:0:0:0:0:1 - - [26/Jul/2020:11:44:13 +0530] "GET /pandD1/assets/img/bg/panddback.jpg HTTP/1.1" 200 57805
0:0:0:0:0:0:0:1 - - [26/Jul/2020:11:44:13 +0530] "GET /pandD1/assets/vendor/owl.carousel/owl.carousel.min.js HTTP/1.1" 200 44342
0:0:0:0:0:0:0:1 - - [26/Jul/2020:11:44:16 +0530] "GET /pandD1/Mission.html HTTP/1.1" 200 3445
0:0:0:0:0:0:0:1 - - [26/Jul/2020:11:44:16 +0530] "GET /pandD1/assets/img/bg/mission.jpg HTTP/1.1" 200 39387
0:0:0:0:0:0:0:1 - - [26/Jul/2020:11:44:19 +0530] "GET /pandD1/index1.html HTTP/1.1" 200 10384
0:0:0:0:0:0:0:1 - - [26/Jul/2020:11:44:20 +0530] "GET /pandD1/assets/img/bg/CA.png HTTP/1.1" 200 15892
0:0:0:0:0:0:0:1 - - [26/Jul/2020:11:44:20 +0530] "GET /pandD1/assets/img/slide/slide-2.jpg HTTP/1.1" 200 297900
0:0:0:0:0:0:0:1 - - [26/Jul/2020:11:44:20 +0530] "GET /pandD1/assets/img/slide/slide-1.jpg HTTP/1.1" 200 86306
0:0:0:0:0:0:0:1 - - [26/Jul/2020:11:44:20 +0530] "GET /pandD1/assets/vendor/icofont/fonts/icofont.woff2 HTTP/1.1" 200 537868
0:0:0:0:0:0:0:1 - - [26/Jul/2020:11:44:20 +0530] "GET /pandD1/assets/vendor/boxicons/fonts/boxicons.woff2 HTTP/1.1" 200 89924
0:0:0:0:0:0:0:1 - - [26/Jul/2020:11:44:20 +0530] "GET /pandD1/assets/img/slide/strategy.jpg HTTP/1.1" 200 78703
0:0:0:0:0:0:0:1 - - [26/Jul/2020:11:45:04 +0530] "GET /pandD1/admin.html HTTP/1.1" 200 10506
0:0:0:0:0:0:0:1 - - [26/Jul/2020:11:45:04 +0530] "GET /pandD1/assets/img/bg/blue1.jpg HTTP/1.1" 200 36548
0:0:0:0:0:0:0:1 - - [26/Jul/2020:11:45:08 +0530] "POST /pandD1/validate.jsp HTTP/1.1" 200 277
0:0:0:0:0:0:0:1 - - [26/Jul/2020:11:45:20 +0530] "POST /pandD1/validate.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jul/2020:11:45:20 +0530] "GET /pandD1/upload.html HTTP/1.1" 200 14369
0:0:0:0:0:0:0:1 - - [26/Jul/2020:11:45:20 +0530] "GET /pandD1/assets/img/bg/design1.jpg HTTP/1.1" 200 281572
0:0:0:0:0:0:0:1 - - [26/Jul/2020:11:45:20 +0530] "GET /pandD1/assets/img/bg/design2.jpg HTTP/1.1" 200 2038785
0:0:0:0:0:0:0:1 - - [26/Jul/2020:11:46:16 +0530] "GET /pandD1/photo_table.jsp HTTP/1.1" 200 9190
0:0:0:0:0:0:0:1 - - [26/Jul/2020:11:46:18 +0530] "GET /pandD1/Delete.jsp?id=1&folderName=office%20opening&table=photo HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jul/2020:11:46:18 +0530] "GET /pandD1/photo_table.jsp HTTP/1.1" 200 8862
0:0:0:0:0:0:0:1 - - [26/Jul/2020:11:46:22 +0530] "GET /pandD1/index.jsp HTTP/1.1" 200 3439
0:0:0:0:0:0:0:1 - - [26/Jul/2020:11:46:41 +0530] "GET /pandD1/photo_blog.jsp HTTP/1.1" 200 8866
0:0:0:0:0:0:0:1 - - [26/Jul/2020:11:46:43 +0530] "GET /pandD1/VideoBlog.jsp HTTP/1.1" 200 14246
0:0:0:0:0:0:0:1 - - [26/Jul/2020:11:46:47 +0530] "GET /pandD1/Link&Update.jsp HTTP/1.1" 200 10328
0:0:0:0:0:0:0:1 - - [26/Jul/2020:11:46:47 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [26/Jul/2020:11:46:51 +0530] "GET /pandD1/contact.jsp HTTP/1.1" 200 21033
0:0:0:0:0:0:0:1 - - [26/Jul/2020:11:50:54 +0530] "POST /pandD1/email.jsp HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [26/Jul/2020:11:50:56 +0530] "GET /pandD1/contact.jsp HTTP/1.1" 200 21033
